date,max_temp,min_temp
2026-07-12,17.1,10.6
2026-07-13,17.2,10.4
2026-07-14,18.9,8.8
2026-07-15,22.1,8.5
2026-07-16,21.3,8.2
2026-07-17,22.5,7.4
2026-07-18,22.0,8.2
